,CPU time,Time,Sum,CPU unit,Time unit,Job_nr,Cost
Job0v0_0,965.0,1064.0,2029.0, ms,ms.,Job0v0,892881.0
Job0v0_1,1014.0,1056.0,2070.0, ms,ms.,Job0v0,892915.0
Job0v0_2,408.0,508.0,916.0, ms,ms.,Job0v0,28.4634
Job0v0_3,451.0,467.0,918.0, ms,ms.,Job0v0,26.3904
Job0v0_4,257.0,300.0,557.0, ms,ms.,Job0v0,23.3906
Job0v0_5,387.0,425.0,812.0, ms,ms.,Job0v0,57.8094
Job0v0_6,568.0,658.0,1226.0, ms,ms.,Job0v0,892833.0
Job0v0_7,634.0,663.0,1297.0, ms,ms.,Job0v0,892867.0
Job0v0_8,368.0,472.0,840.0, ms,ms.,Job0v0,20.2247
Job0v0_9,392.0,409.0,801.0, ms,ms.,Job0v0,18.1516
Job0v0_10,226.0,249.0,475.0, ms,ms.,Job0v0,21.0538
Job0v0_11,335.0,368.0,703.0, ms,ms.,Job0v0,55.4726
Job0v1_0,991.0,1060.0,2051.0, ms,ms.,Job0v1,45515.7
Job0v1_1,619.0,702.0,1321.0, ms,ms.,Job0v1,90.3923
Job0v1_2,320.0,408.0,728.0, ms,ms.,Job0v1,23.8585
Job0v1_3,588125.0,588282.0,1176407.0, ms,ms.,Job0v1,45452.7
Job0v1_4,601.0,719.0,1320.0, ms,ms.,Job0v1,86.6683
Job0v1_5,288.0,356.0,644.0, ms,ms.,Job0v1,15.0525
Job0v2_0,17.0,16.0,33.0, ms,ms.,Job0v2,2.38134
Job0v2_1,23.0,22.0,45.0, ms,ms.,Job0v2,2.66247
Job0v2_2,11.0,11.0,22.0, ms,ms.,Job0v2,0.854534
Job0v2_3,12.0,11.0,23.0, ms,ms.,Job0v2,0.824098
Job0v2_4,4.0,4.0,8.0, ms,ms.,Job0v2,0.278615
Job0v2_5,7.0,7.0,14.0, ms,ms.,Job0v2,0.557743
Job0v2_6,40.0,40.0,80.0, ms,ms.,Job0v2,1.58733
Job0v2_7,42.0,41.0,83.0, ms,ms.,Job0v2,1.86846
Job0v2_8,9.0,9.0,18.0, ms,ms.,Job0v2,0.843784
